Pos,Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global
211.0,Atelier Sophie: The Alchemist of the Mysterious Book,2015,Role-Playing,Tecmo Koei,0.0,0.0,0.07,0.0,0.07
212.0,Samurai Warriors 4: Empires,2015,Action,Tecmo Koei,0.0,0.0,0.07,0.0,0.07
213.0,Mahouka Koukou no Rettousei: Out of Order,2014,Adventure,Namco Bandai Games,0.0,0.0,0.07,0.0,0.07
214.0,Criminal Girls,2013,Misc,NIS America,0.01,0.01,0.04,0.01,0.07
215.0,Bullet Girls,2014,Misc,D3Publisher,0.0,0.0,0.07,0.0,0.07
216.0,Kangokutou Mary Skelter,2016,Role-Playing,Idea Factory,0.01,0.0,0.04,0.01,0.06
217.0,Atelier Meruru: Alchemist of Arland 3,2013,Misc,Gust,0.0,0.0,0.06,0.0,0.06
218.0,Genkai Tokki Monster Monpiece,2013,Misc,Idea Factory,0.0,0.0,0.06,0.0,0.06
219.0, Dungeon Travelers 2-2: The Maiden Who Fell into Darkness and the Book of Beginnings,2017,Role-Playing,Aquaplus,0.0,0.0,0.06,0.0,0.06
220.0,The Legend of Heroes: Ao no Kiseki,2014,Misc,Nihon Falcom Corporation,0.0,0.0,0.06,0.0,0.06
221.0,Kamen Rider: Battride War Genesis,2016,Action,Namco Bandai Games,0.0,0.0,0.06,0.0,0.06
222.0,Saki: Zenkoku-hen,2015,Misc,Kaga Create,0.0,0.0,0.06,0.0,0.06
223.0,Pro Yakyuu Spirits 2013,2013,Misc,Konami Digital Entertainment,0.0,0.0,0.06,0.0,0.06
224.0,Chaos Rings III,2014,Role-Playing,Square Enix,0.0,0.0,0.06,0.0,0.06
225.0,Omega Labyrinth,2015,Role-Playing,D3Publisher,0.0,0.0,0.06,0.0,0.06
226.0,To Heart 2: Dungeon Travelers,2015,Adventure,Aqua Plus,0.0,0.0,0.06,0.0,0.06
227.0,Earth Defense Force 2017 Portable,2012,Misc,D3Publisher,0.0,0.0,0.06,0.0,0.06
228.0,MeiQ no Chika Ni Shisu: A Maze to Eradicate Them All,2015,Role-Playing,Idea Factory,0.02,0.01,0.02,0.01,0.06
229.0,Luminous Arc Infinity,2015,Action,Marvel Entertainment,0.0,0.0,0.06,0.0,0.06
230.0,Uta no Prince-Sama: Music 3,2016,Action,Broccoli,0.0,0.0,0.06,0.0,0.06
231.0,Stranger of Sword City,2015,Role-Playing,NIS America,0.04,0.01,0.0,0.02,0.06
232.0,Puyo Puyo Tetris,2014,Misc,Sega,0.0,0.0,0.06,0.0,0.06
233.0,Shiren the Wanderer 5 Plus: Fortune Tower and the Dice of Fate,2015,Action,Aksys Games,0.01,0.0,0.04,0.01,0.06
234.0,Samurai Warriors 4-II,2015,Action,Tecmo Koei,0.0,0.0,0.06,0.0,0.06
235.0,Tokyo Ghoul: Jail,2015,Racing,Namco Bandai Games,0.0,0.0,0.06,0.0,0.06
236.0,Valkyria: Azure Revolution,2017,Role-Playing,Sega,0.0,0.0,0.06,0.0,0.06
237.0,Nobunaga's Ambition: Creation,2014,Misc,Tecmo Koei,0.0,0.0,0.06,0.0,0.06
238.0,Refrain no Chika Meikyuu to Majo no Ryodan,2016,Action,Nippon Ichi Software,0.0,0.0,0.06,0.0,0.06
239.0,Pro Yakyuu Spirits 2012,2012,Misc,Konami Digital Entertainment,0.0,0.0,0.06,0.0,0.06
240.0,Bullet Girls 2,2016,Action,D3Publisher,0.0,0.0,0.06,0.0,0.06
241.0,Fate/stay night [R�alta Nua],2012,Misc,Kadokawa Shoten,0.0,0.0,0.06,0.0,0.06
242.0,Gal Gun: Double Peace,2015,Action,PQube,0.0,0.03,0.01,0.01,0.06
243.0,Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden,2016,Misc,Tecmo Koei,0.0,0.0,0.06,0.0,0.06
244.0,Hyperdimension Neptunia Re;Birth 2,2014,Action,Idea Factory International,0.03,0.01,0.0,0.01,0.05
245.0,Demon Gaze 2,2016,Role-Playing,NIS America,0.01,0.0,0.04,0.0,0.05
246.0,Period Cube: Torikago no Amadeus,2016,Action,Idea Factory,0.02,0.0,0.03,0.01,0.05
247.0,Super Heroine Chronicle,2014,Misc,Namco Bandai Games,0.0,0.0,0.05,0.0,0.05
248.0,New Tokyo Legacy: Operation Babel,2015,Role-Playing,NIS America,0.01,0.0,0.04,0.0,0.05
249.0,Collar x Malice,2016,Action,Aksys Games,0.01,0.0,0.03,0.01,0.05
250.0,Macross ? Scramble,2016,Action,Namco Bandai Games,0.0,0.0,0.05,0.0,0.05
251.0,New Hayarigami,2014,Visual Novel,Nippon Ichi Software,0.0,0.0,0.05,0.0,0.05
252.0,Atelier Escha & Logy: Alchemists of the Dusk Sky,2015,Role-Playing,Tecmo Koei,0.0,0.0,0.05,0.0,0.05
253.0,Atelier Rorona: Alchemist of Arland,2013,Misc,NIS America,0.0,0.0,0.05,0.0,0.05
254.0,Gakusen Toshi Asterisk Festa: Houka Kenran,2016,Fighting,Namco Bandai Games,0.0,0.0,0.05,0.0,0.05
255.0,Atelier Shallie Plus: Alchemists of the Dusk Sea,2016,Role-Playing,Tecmo Koei,0.0,0.0,0.05,0.0,0.05
256.0,Atelier Ayesha: The Alchemist of the Land of Twilight,2014,Role-Playing,Tecmo Koei,0.0,0.0,0.05,0.0,0.05
257.0,To Love-Ru Trouble Darkness: Battle Ecstasy,2014,Misc,FuRyu,0.0,0.0,0.05,0.0,0.05
258.0,Dead or Alive Xtreme 3: Venus,2016,Sports,Tecmo Koei,0.0,0.0,0.05,0.0,0.05
259.0,Time Travelers,2012,Adventure,Level 5,0.0,0.0,0.05,0.0,0.05
260.0,Shin Kamaitachi no Yoru: 11 Hitome no Suspect,2011,Adventure,ChunSoft,0.0,0.0,0.05,0.0,0.05
261.0,Hakuouki SSL: Sweet School Life,2014,Misc,Idea Factory,0.0,0.0,0.05,0.0,0.05
262.0,Ray Gigant,2015,Role-Playing,Namco Bandai Games,0.0,0.0,0.05,0.0,0.05
263.0,Hyperdimension Neptunia mk2,2014,Misc,Compile Heart,0.0,0.0,0.05,0.0,0.05
264.0,Ao no Kanata no Four Rhythm,2016,Visual Novel,Sprite,0.0,0.0,0.05,0.0,0.05
265.0,Yuki Yuna is a Hero: Memory of the Forest,2015,Action,FuRyu,0.0,0.0,0.05,0.0,0.05
266.0,Musou Stars,2017,Action,Tecmo Koei,0.0,0.0,0.04,0.0,0.04
267.0,God Wars: Future Past,2017,Role-Playing,NIS America,0.01,0.0,0.03,0.0,0.04
268.0,World Trigger: Borderless Mission,2015,Action,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04
269.0,Tsurugi no Machi no Ihoujin: Kuro no Kyuuden,2015,Role-Playing,Experience Inc.,0.0,0.0,0.04,0.0,0.04
270.0,Darius Burst: Chronicle Saviours,2016,Action,Kadokawa Games,0.0,0.0,0.04,0.0,0.04
271.0,Ben 10 Galactic Racing,2012,Misc,D3Publisher,0.02,0.02,0.0,0.01,0.04
272.0,Genkai Tokki: Seven Pirates,2016,Role-Playing,Compile Heart,0.0,0.0,0.04,0.0,0.04
273.0,Kenka Bancho Otome,2016,Action,Screenlife,0.0,0.0,0.04,0.0,0.04
274.0,Arcana Heart 3,2014,Misc,Arc System Works,0.02,0.0,0.02,0.01,0.04
275.0,Uta no Prince-Sama: Repeat Love,2017,Adventure,Broccoli,0.0,0.0,0.04,0.0,0.04
276.0,Yahari Game Demo Ore no Seishun Love-Kome wa Machigatteiru. Zoku,2016,Adventure,5pb,0.0,0.0,0.04,0.0,0.04
277.0,The Idolm@ster: Must Songs - Red Board / Blue Board,2015,Misc,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04
278.0,Little Battlers eXperience W,2012,Misc,Level 5,0.0,0.0,0.04,0.0,0.04
279.0,Aegis of Earth: Protonovus Assault,2016,Action,PQube,0.01,0.02,0.0,0.01,0.04
280.0,Forza Motorsport 4: December IGN Pack,2014,Misc,Telltale Games,0.03,0.0,0.0,0.01,0.04
281.0,MLB 15: The Show,2015,Sports,Sony Computer Entertainment,0.03,0.0,0.0,0.01,0.04
282.0,Renai Revenge,2015,Adventure,TGL,0.0,0.0,0.04,0.0,0.04
283.0,XBLAZE Code: Embryo,2013,Misc,Arc System Works,0.02,0.0,0.01,0.01,0.04
284.0,Diabolik Lovers: Lunatic Parade,2016,Adventure,Idea Factory,0.0,0.0,0.04,0.0,0.04
285.0,Amagami,2014,Misc,Kadokawa Games,0.0,0.0,0.04,0.0,0.04
286.0,Yuusha Shisu.,2016,Role-Playing,Nippon Ichi Software,0.0,0.0,0.04,0.0,0.04
287.0,Ar Nosurge: Ode to an Unborn Star,2014,Role-Playing,Tecmo Koei,0.0,0.0,0.04,0.0,0.04
288.0,Airship Q,2015,Platform,Cygames,0.0,0.0,0.04,0.0,0.04
289.0,The Legend of Heroes: Trails in the Sky SC Evolution,2015,Role-Playing,Kadokawa Games,0.0,0.0,0.04,0.0,0.04
290.0,Sengoku Otome: Legend Battle,2016,Action,Unknown,0.0,0.0,0.04,0.0,0.04
291.0,Alia's Carnival! Sacrament,2015,Adventure,Dramatic Create,0.0,0.0,0.04,0.0,0.04
292.0,Ou to Maou to 7-nin no Himegimitachi: Shin Ousama Monogatari,2012,Misc,Konami Digital Entertainment,0.0,0.0,0.04,0.0,0.04
293.0,Diabolik Lovers: Dark Fate,2015,Action,Idea Factory,0.0,0.0,0.04,0.0,0.04
294.0,The Legend of Heroes: Trails in the Sky Third Chapter,2016,Role-Playing,Nihon Falcom Corporation,0.0,0.0,0.04,0.0,0.04
295.0,Reco Love: Blue Ocean,2016,Adventure,Kadokawa Games,0.0,0.0,0.04,0.0,0.04
296.0,Winning Post 8 ,2014,Misc,Tecmo Koei,0.0,0.0,0.04,0.0,0.04
297.0,Super Hero Generation,2014,Role-Playing,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04
298.0,Atelier Firis: The Alchemist of the Mysterious Journey,2016,Role-Playing,Tecmo Koei,0.0,0.0,0.04,0.0,0.04
299.0,Hakuoki Zuisouroku Omokage Hana,2015,Action,Idea Factory,0.0,0.0,0.04,0.0,0.04
300.0,Hyakka Hyakurou: Sengoku Ninpoujou,2016,Adventure,D3Publisher,0.0,0.0,0.04,0.0,0.04
301.0,Blue Reflection: Maboroshi ni Mau - Shoujo no Ken,2017,Action,Tecmo Koei,0.0,0.0,0.04,0.0,0.04
302.0,A Good Librarian Like a Good Shepherd: Library Party,2015,Action,Kaga Create,0.0,0.0,0.04,0.0,0.04
303.0,Digimon Story: Cyber Sleuth - Hacker's Memory,2017,Role-Playing,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04
304.0,Psycho-Pass: Mandatory Happiness,2016,Adventure,NIS America,0.0,0.01,0.02,0.0,0.04
305.0,Rose to Tasogare no Kojou,2016,Action,Nippon Ichi Software,0.0,0.0,0.04,0.0,0.04
306.0,Ebikore Photo Kano Kiss ,2015,Action,Kadokawa Games,0.0,0.0,0.04,0.0,0.04
307.0,Kisuato,2015,Adventure,TGL,0.0,0.0,0.04,0.0,0.04
308.0,Himoutou! Umaru-Chan: Himoutou Ikusei Keikaku,2015,Simulation,FuRyu,0.0,0.0,0.04,0.0,0.04
309.0,Hakuoki: Shinkai - Hana no Shou,2016,Adventure,Idea Factory,0.0,0.0,0.04,0.0,0.04
310.0,Hyperdimension Neptunia Vs. Sega Hard Girls: Yume no Gattai Special,2015,Role-Playing,Compile Heart,0.0,0.0,0.04,0.0,0.04
311.0,Higurashi no Naku Koro ni Iki,2015,Action,Kaga Create,0.0,0.0,0.03,0.0,0.03
312.0,Superdimension Neptune vs Sega Hard Girls,2016,Role-Playing,Idea Factory International,0.0,0.03,0.0,0.01,0.03
313.0,OZMAFIA!! -vivace-,2015,Adventure,Dramatic Create,0.0,0.0,0.03,0.0,0.03
314.0,Great Edo Blacksmith,2014,Adventure,Nippon Ichi Software,0.0,0.0,0.03,0.0,0.03
315.0,Akiba's Beat,2017,Action,PQube,0.02,0.0,0.0,0.01,0.03
316.0,Parfait,2015,Adventure,TGL,0.0,0.0,0.03,0.0,0.03
317.0,Uppers,2016,Action,Marvelous Entertainment,0.0,0.0,0.03,0.0,0.03
318.0,Coven and Labyrinth of Refrain,2016,Action,Nippon Ichi Software,0.0,0.0,0.03,0.0,0.03
319.0,Rugby 15,2015,Sports,Bigben Interactive,0.0,0.03,0.0,0.01,0.03
320.0,Harukanaru Toki no Naka de 6,2015,Action,Tecmo Koei,0.0,0.0,0.03,0.0,0.03
321.0,Shantae: Half-Genie Hero,2016,Platform,Xseed Games,0.02,0.0,0.0,0.01,0.03
322.0,Looney Tunes: Galactic Sports,2015,Action,Sony Computer Entertainment,0.0,0.03,0.0,0.01,0.03
323.0,La Corda d'Oro 4,2016,Action,Tecmo Koei,0.0,0.0,0.03,0.0,0.03
324.0,Super Robot Taisen OG Saga: Masou Kishin III - Pride of Justice,2013,Misc,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03
325.0,WRC 5: FIA World Rally Championship,2015,Sports,Bigben Interactive,0.0,0.03,0.0,0.01,0.03
326.0,Sei Madou Monogatari,2013,Misc,Rising Star Games,0.0,0.0,0.03,0.0,0.03
327.0,Shin Hayarigami 2,2016,Adventure,Nippon Ichi Software,0.0,0.0,0.03,0.0,0.03
328.0,Infinite Stratos 2: Ignition Hearts,2014,Misc,5pb,0.0,0.0,0.03,0.0,0.03
329.0,Exstetra,2013,Misc,FuRyu,0.0,0.0,0.03,0.0,0.03
330.0,Fortune Street: Dragon Quest & Final Fantasy 30th Anniversary,2017,Misc,Square Enix,0.0,0.0,0.03,0.0,0.03
331.0,"Moshi, Kono Sekai ni Kami-sama ga Iru to suru Naraba.",N/A,Adventure,,0.0,0.0,0.03,0.0,0.03
332.0,New Interpretation Stranger of Sword City,2016,Role-Playing,Experience Inc.,0.0,0.0,0.03,0.0,0.03
333.0,Phantasy Star Online 2: Episode 3 Deluxe Package,2015,Action,Sega,0.0,0.0,0.03,0.0,0.03
334.0,Nil Admirari no Tenbin: Teito Genwaku Toukidan,2016,Adventure,Idea Factory,0.0,0.0,0.03,0.0,0.03
335.0,Berserk and the Band of the Hawk,2016,Action,Tecmo Koei,0.0,0.0,0.03,0.0,0.03
336.0,Nisekoi,2014,Misc,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03
337.0,Gochuumon wa Usagi Desu ka?? Wonderful Party!,2016,Adventure,5pb,0.0,0.0,0.03,0.0,0.03
338.0,Omega Labyrinth Z,N/A,Role-Playing,,0.0,0.0,0.03,0.0,0.03
339.0,Putty Squad,2013,Misc,System 3,0.01,0.01,0.0,0.01,0.03
340.0,Sukitomo. Tsukiuta. 12 Memories,2017,Adventure,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03
341.0,Winning Post 8 2015,2015,Action,Tecmo Koei,0.0,0.0,0.03,0.0,0.03
342.0,Taishou Moebius Line Vitable,2016,Adventure,Dramatic Create,0.0,0.0,0.03,0.0,0.03
343.0,Shinsei Batteki Drive Girls,2017,Action,Rising Star Games,0.01,0.0,0.01,0.0,0.03
344.0,Senjou no Waltz,2014,Adventure,Idea Factory,0.0,0.0,0.03,0.0,0.03
345.0,Samurai Warriors: Sanada Maru,2016,Action,Tecmo Koei,0.0,0.0,0.03,0.0,0.03
346.0,Diabolik Lovers: Vandead Carnival,2014,Action,Idea Factory,0.0,0.0,0.03,0.0,0.03
347.0,Net High,2015,Adventure,Marvelous Games,0.0,0.0,0.03,0.0,0.03
348.0,Nobunaga's Ambition: Tenshouki with Power-Up Kit HD Version,2015,Strategy,Tecmo Koei,0.0,0.0,0.03,0.0,0.03
349.0,Yomawari: Midnight Shadows,2017,Action,NIS America,0.0,0.0,0.03,0.0,0.03
350.0,Storm Lover 2nd V,2016,Adventure,D3Publisher,0.0,0.0,0.03,0.0,0.03
351.0,Ukiyo no Roushi,2015,Action,Unknown,0.0,0.0,0.03,0.0,0.03
352.0,Senran Kagura: Bon App�tit!,2014,Misc,Marvelous Entertainment,0.0,0.0,0.03,0.0,0.03
353.0,Dream Club Zero Portable,2011,Simulation,D3 Publisher,0.0,0.0,0.03,0.0,0.03
354.0,Chou Ezaru wa Akai Hana: Koi wa Tsuki ni Shirube Kareru,2016,Action,Dramatic Create,0.0,0.0,0.03,0.0,0.03
355.0,Labyrinth Cross Blood: Infinity,2013,Misc,CyberFront,0.0,0.0,0.03,0.0,0.03
356.0,Diabolik Lovers: More Blood,2015,Adventure,Idea Factory,0.0,0.0,0.03,0.0,0.03
357.0,Wand of Fortune R,2016,Adventure,Idea Factory,0.0,0.0,0.03,0.0,0.03
358.0,AMNESIA World,2014,Misc,Idea Factory,0.0,0.0,0.03,0.0,0.03
359.0,Dynasty Warriors 8: Empires,2015,Action,Tecmo Koei,0.0,0.0,0.03,0.0,0.03
360.0,Wand of Fortune R2: Jikuu ni Shizumu Mokushiroku,2017,Adventure,Idea Factory,0.0,0.0,0.03,0.0,0.03
361.0,Dynasty Warriors: Eiketsuden,2016,Strategy,Tecmo Koei,0.0,0.0,0.03,0.0,0.03
362.0,Hakuoki: Kyoto Winds,2017,Adventure,Idea Factory,0.02,0.0,0.0,0.01,0.03
363.0,BlazBlue: Chrono Phantasma Extend,2015,Action,PQube,0.0,0.02,0.0,0.01,0.03
364.0,Amatsumi Sora ni! Kumo no Hatate ni,2015,Adventure,Prototype,0.0,0.0,0.03,0.0,0.03
365.0,Tsuki ni Yori Sou Otome no Sahou: Hidamari no Hibi,2015,Adventure,Dramatic Create,0.0,0.0,0.03,0.0,0.03
366.0,Shitsuji ga Aruji o Erabu Toki,2016,Adventure,Unknown,0.0,0.0,0.03,0.0,0.03
367.0,Zettai Kaikyuu Gakuen: Eden with Roses and Phantasm,2016,Adventure,Prototype,0.0,0.0,0.03,0.0,0.03
368.0,MuvLuv Double Pack,2016,Adventure,5pb,0.0,0.0,0.03,0.0,0.03
369.0,Norn + Nonette: Act Tune,2016,Action,Idea Factory,0.0,0.0,0.03,0.0,0.03
370.0,Tokushu Houdoubu,2012,Misc,Nippon Ichi Software,0.0,0.0,0.03,0.0,0.03
371.0,Harukanaru Toki no Naka de 3 Ultimate,2017,Adventure,Tecmo Koei,0.0,0.0,0.03,0.0,0.03
372.0,Little Busters! Converted Edition,2012,Misc,Prototype,0.0,0.0,0.03,0.0,0.03
373.0,Shiin,2017,Adventure,Experience Inc.,0.0,0.0,0.03,0.0,0.03
374.0,Angelique Retour,2015,Action,Tecmo Koei,0.0,0.0,0.03,0.0,0.03
375.0,Haitaka no Psychedelica,2016,Adventure,Idea Factory,0.0,0.0,0.03,0.0,0.03
376.0,Osomatsu-San: The Game - Hang-Up Finding Employment Advice - Dead or Work,2017,Adventure,Idea Factory,0.0,0.0,0.03,0.0,0.03
377.0,Kyokugen Dasshutsu ADV: Zennin Shiboudesu,2012,Misc,ChunSoft,0.0,0.0,0.03,0.0,0.03
378.0,Idol Death Game TV,2016,Adventure,D3Publisher,0.0,0.0,0.02,0.0,0.02
379.0,7'scarlet,2016,Adventure,Idea Factory,0.0,0.0,0.02,0.0,0.02
380.0,The Longest 5 Minutes,2016,Action,Nippon Ichi Software,0.0,0.0,0.02,0.0,0.02
381.0,Strawberry Nauts,2016,Adventure,Unknown,0.0,0.0,0.02,0.0,0.02
382.0,Otoko Yukaku,2015,Action,D3Publisher,0.0,0.0,0.02,0.0,0.02
383.0,Yahari Game Demo Ore no Seishun Love-Kome Hamachi Gatteiru,2013,Misc,5pb,0.0,0.0,0.02,0.0,0.02
384.0,Kyoukai no Shirayuki,2016,Action,Idea Factory,0.0,0.0,0.02,0.0,0.02
385.0,Ouma ga Toki: Kakuriyo no Enishi,2016,Action,Nippon Ichi Software,0.0,0.0,0.02,0.0,0.02
386.0,Moujuu-Tachi to Ohimesama,2016,Action,Idea Factory,0.0,0.0,0.02,0.0,0.02
387.0,Lovely x Cation 1 & 2,2015,Action,5pb,0.0,0.0,0.02,0.0,0.02
388.0,Taishou x Alice: All in One,2016,Adventure,Prototype,0.0,0.0,0.02,0.0,0.02
389.0,Suran Digit,2016,Adventure,Idea Factory,0.0,0.0,0.02,0.0,0.02
390.0,Sangoku Hime 4: Tenka Ryouran - Tenmei no Koi Emaki,2016,Action,SystemSoft Alpha,0.0,0.0,0.02,0.0,0.02
391.0,Cross Ange: Tenshi to Ryuu no Rondo tr.,2015,Action,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02
392.0,Maji-Kyun! Renaissance,2016,Adventure,Broccoli,0.0,0.0,0.02,0.0,0.02
393.0,Prince of Stride,2015,Misc,Kadokawa Games,0.0,0.0,0.02,0.0,0.02
394.0,Zero Escape The Nonary Games,2017,Adventure,Aksys Games,0.01,0.0,0.01,0.0,0.02
395.0,Phantasy Star Online 2 Episode 4: Deluxe Package,2017,Role-Playing,Sega,0.0,0.0,0.02,0.0,0.02
396.0,Dynamic Chord feat. Reve Parfait: V Edition,2016,Adventure,honeybee,0.0,0.0,0.02,0.0,0.02
397.0,Yuukyuu no Tierblade: Lost Chronicle,2016,Adventure,Idea Factory,0.0,0.0,0.02,0.0,0.02
398.0,PuraMai Wars V,2016,Action,Unknown,0.0,0.0,0.02,0.0,0.02
399.0,Geten no Hana with Yume Akari: Aizouban,2016,Adventure,Tecmo Koei,0.0,0.0,0.02,0.0,0.02
400.0,To Love-Ru Trouble: Darkness - True Princess,2015,Action,FuRyu,0.0,0.0,0.02,0.0,0.02
401.0,Uta Kumi 575,2014,Misc,Sega,0.0,0.0,0.02,0.0,0.02
402.0,Hoshiori Yume Mirai: Converted Edition,2016,Adventure,Prototype,0.0,0.0,0.02,0.0,0.02
403.0,Abunai: Koi no Sousa Shitsu,2015,Action,Asgard,0.0,0.0,0.02,0.0,0.02
404.0,Sangoku Koi Senki: Omoide Gaeshi - CS Edition,2016,Adventure,Prototype,0.0,0.0,0.02,0.0,0.02
405.0,Yunohana Spring! Cherishing Time,2016,Adventure,Idea Factory,0.0,0.0,0.02,0.0,0.02
406.0,Dance with Devils,N/A,Action,,0.0,0.0,0.02,0.0,0.02
407.0,Bara ni Kakusareshi Verite,2016,Action,Idea Factory,0.0,0.0,0.02,0.0,0.02
408.0,Brothers Conflict: Precious Baby,2017,Action,Idea Factory,0.0,0.0,0.02,0.0,0.02
409.0,Sid Meier's Civilization Revolution 2+,2015,Strategy,Take-Two Interactive,0.0,0.0,0.02,0.0,0.02
410.0,I Doll U,2015,Adventure,Idea Factory,0.0,0.0,0.02,0.0,0.02
411.0, Neo Atlas 1469,2016,Misc,ArtDink,0.0,0.0,0.02,0.0,0.02
412.0,PriministAr,2016,Adventure,Entergram,0.0,0.0,0.02,0.0,0.02
413.0,Grisaia no Rakuen: Le Eden de la Grisaia,2014,Adventure,Prototype,0.0,0.0,0.02,0.0,0.02
414.0,Plastic Memories,2016,Adventure,5pb,0.0,0.0,0.02,0.0,0.02
415.0,Kaleidoeve,2015,Adventure,HuneX,0.0,0.0,0.02,0.0,0.02
416.0,Meiji Toukyou Renka: Full Moon,2016,Action,5pb,0.0,0.0,0.02,0.0,0.02
417.0,Clock Zero: Shuuen no Ichibyou - ExTime,2015,Action,Idea Factory,0.0,0.0,0.02,0.0,0.02
418.0,Root Infinity Rexx,2015,Adventure,Idea Factory,0.0,0.0,0.02,0.0,0.02
419.0,Hakuoki: Shinkai - Furi no Shou,2015,Action,Idea Factory,0.0,0.0,0.02,0.0,0.02
420.0,Uta no Prince-sama: Amazing Aria & Sweet Serenade Love,2017,Adventure,Broccoli,0.0,0.0,0.02,0.0,0.02
